number_of_classes,image_height,image_width,sequence_length,random_state,model_type,output_layer_activation_function,loss_function,adam_optimizer_learning_rate,training_shuffle,max_training_epochs,batch_size,early_stopping,early_stopping_monitor,early_stopping_mode,early_stopping_patience,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,model_output_path,architecture_and_evaluation_output_path
4,224,224,20,42,HARM - videomae-base,softmax,categorical_crossentropy,5e-05,True,4,2,True,val_loss,min,20,0.9882352941176472,0.9897959183673468,0.9903846153846154,0.9898897058823528,0.9887154861944776,0.9882352941176472,0.9882425028835063,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_videomae-base_4_classes_lr_5e-05__epochs_4__batch_size_2_2024-05-08_08:36:52,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-05-08_08:36:52.log
4,224,224,20,42,HARM - videomae-base,softmax,categorical_crossentropy,5e-05,True,4,2,True,val_loss,min,20,0.9647058823529412,0.9723883572567784,0.9569842738205365,0.9634322099918431,0.9668847921943896,0.9647058823529412,0.9646282751247673,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_videomae-base_4_classes_lr_5e-05__epochs_4__batch_size_2_2024-05-09_22:20:39,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-05-09_22:20:39.log
4,224,224,20,42,HARM - timesformer-base-finetuned-k400,softmax,categorical_crossentropy,5e-05,True,4,2,True,val_loss,min,20,0.9610027855153204,0.9618560606060608,0.9615808162531464,0.9608045141133376,0.9630893897189162,0.9610027855153204,0.9609958832472352,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_timesformer-base-finetuned-k400_4_classes_lr_5e-05__epochs_4__batch_size_2_2024-05-08_07:48:33,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-05-08_07:48:33.log
4,224,224,20,42,HARM - timesformer-base-finetuned-k400,softmax,categorical_crossentropy,5e-05,True,4,2,True,val_loss,min,20,0.958217270194986,0.9594343959765758,0.9618619651204604,0.9598653259850332,0.9600517649243616,0.958217270194986,0.9582519085956042,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_timesformer-base-finetuned-k400_4_classes_lr_5e-05__epochs_4__batch_size_2_2024-05-07_21:59:37,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-05-07_21:59:37.log
4,224,224,20,42,HARM - timesformer-base-finetuned-k400,softmax,categorical_crossentropy,5e-05,True,4,2,True,val_loss,min,20,0.9526462395543176,0.9566666666666668,0.9603110391945344,0.9563753313120286,0.9572770366026486,0.9526462395543176,0.9525790780900047,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_timesformer-base-finetuned-k400_4_classes_lr_5e-05__epochs_4__batch_size_2_2024-05-07_20:02:46,
4,224,224,20,42,HARM - GoogLeNet,softmax,categorical_crossentropy,5e-05,True,25,2,True,val_loss,min,20,0.9434389140271492,0.944238624924083,0.9430290661448294,0.9428840065231976,0.9449783249873688,0.9434389140271492,0.943495988346201,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_googlenet_4_classes_adam_5e-05__epochs_25__batch_size_2__early_stopping_monitor_val_loss_mode_min_patience_20_2024-05-09_22:07:27.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-05-09_22:07:27.log
4,224,224,20,42,HARM - videomae-base,softmax,categorical_crossentropy,5e-05,True,4,2,True,val_loss,min,20,0.9294117647058824,0.9491525423728814,0.9241220735785952,0.9305720422161152,0.9437686939182454,0.9294117647058824,0.9302839901809088,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_videomae-base_4_classes_lr_5e-05__epochs_4__batch_size_2_2024-05-09_16:05:47,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-05-09_16:05:47.log
4,224,224,20,42,HARM - GoogLeNet,softmax,categorical_crossentropy,5e-05,True,25,2,True,val_loss,min,20,0.9298642533936652,0.9329878401087828,0.9315436551979284,0.9291724271882468,0.9360335335033464,0.9298642533936652,0.9299270857043512,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_googlenet_4_classes_adam_5e-05__epochs_25__batch_size_2__early_stopping_monitor_val_loss_mode_min_patience_20_2024-05-09_21:42:14.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-05-09_21:42:14.log
4,224,224,20,42,HARM - GoogLeNet,softmax,categorical_crossentropy,5e-05,True,25,2,True,val_loss,min,20,0.919683257918552,0.920536687107544,0.9199100779835272,0.9191772525203992,0.922516450950962,0.919683257918552,0.9200239584997876,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_googlenet_4_classes_adam_5e-05__epochs_25__batch_size_2__early_stopping_monitor_val_loss_mode_min_patience_20_2024-05-09_21:59:53.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-05-09_21:59:53.log
4,64,64,20,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,True,200,256,True,val_loss,min,20,0.8461538461538461,0.8333333333333333,0.875,0.8035714285714286,0.9487179487179488,0.8461538461538461,0.8736263736263736,/home/peter/dp/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_4_classes_adam_0_005__epochs_200__batch_size_256__early_stopping_monitor_val_loss_mode_min_patience_15_2024-04-15_18:18:37.keras,/home/peter/dp/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-15_18:18:37.log
4,64,64,20,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,False,200,128,False,val_loss,min,5,0.8461538461538461,0.9,0.875,0.8660714285714286,0.9076923076923078,0.8461538461538461,0.8543956043956045,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_4_classes_adam_0_005__epochs_200__batch_size_128_2024-04-09_07:43:57.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-09_05:59:38.log
4,32,32,40,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,True,200,256,True,val_loss,min,35,0.8461538461538461,0.875,0.875,0.8660714285714286,0.8653846153846154,0.8461538461538461,0.8461538461538461,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_4_classes_adam_0_005__epochs_200__batch_size_256__early_stopping_monitor_val_loss_mode_min_patience_15_2024-04-07_07:32:13.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-06_17:43:13.log
4,64,64,20,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,False,200,32,True,val_loss,min,25,0.8461538461538461,0.9166666666666666,0.8333333333333334,0.825,0.8974358974358974,0.8461538461538461,0.823076923076923,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_4_classes_adam_0_005__epochs_200__batch_size_32__early_stopping_monitor_val_loss_mode_min_patience_15_2024-04-09_07:40:54.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-09_05:59:38.log
4,32,32,30,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,False,200,32,True,val_loss,min,30,0.7692307692307693,0.8375,0.75,0.7559523809523809,0.8307692307692308,0.7692307692307693,0.7701465201465201,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_4_classes_adam_0_005__epochs_200__batch_size_32__early_stopping_monitor_val_loss_mode_min_patience_15_2024-04-06_21:13:52.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-06_17:43:13.log
4,32,32,10,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,True,200,32,False,val_loss,min,5,0.7692307692307693,0.75,0.75,0.7410714285714286,0.7884615384615384,0.7692307692307693,0.7692307692307693,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_4_classes_adam_0_005__epochs_200__batch_size_32_2024-04-06_02:04:27.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-05_22:16:40.log
4,32,32,20,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,False,200,128,False,val_loss,min,5,0.7692307692307693,0.8333333333333333,0.7291666666666666,0.7476190476190476,0.8205128205128205,0.7692307692307693,0.7663003663003664,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_4_classes_adam_0_005__epochs_200__batch_size_128_2024-04-06_08:49:43.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-05_22:16:40.log
4,64,64,10,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,True,200,256,False,val_loss,min,5,0.7692307692307693,0.8166666666666667,0.8125,0.768452380952381,0.8564102564102564,0.7692307692307693,0.765018315018315,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_4_classes_adam_0_005__epochs_200__batch_size_256_2024-04-07_23:34:39.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-07_20:29:04.log
4,32,32,40,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,True,200,64,True,val_loss,min,20,0.7692307692307693,0.7833333333333333,0.7916666666666666,0.7817460317460316,0.758974358974359,0.7692307692307693,0.7570207570207571,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_4_classes_adam_0_005__epochs_200__batch_size_64__early_stopping_monitor_val_loss_mode_min_patience_15_2024-04-07_07:26:21.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-06_17:43:13.log
4,32,32,40,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,True,200,128,False,val_loss,min,5,0.7692307692307693,0.85,0.75,0.7430555555555555,0.8461538461538461,0.7692307692307693,0.7542735042735043,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_4_classes_adam_0_005__epochs_200__batch_size_128_2024-04-07_07:27:56.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-06_17:43:13.log
4,64,64,20,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,True,200,256,True,val_loss,min,30,0.7692307692307693,0.8928571428571428,0.8125,0.7818181818181817,0.868131868131868,0.7692307692307693,0.7314685314685314,/home/peter/dp/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_4_classes_adam_0_005__epochs_200__batch_size_256__early_stopping_monitor_val_loss_mode_min_patience_15_2024-04-15_18:07:30.keras,/home/peter/dp/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-15_17:59:59.log
4,32,32,40,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,False,200,128,True,val_loss,min,20,0.6923076923076923,0.7666666666666666,0.7291666666666666,0.7321428571428572,0.758974358974359,0.6923076923076923,0.7087912087912088,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_4_classes_adam_0_005__epochs_200__batch_size_128__early_stopping_monitor_val_loss_mode_min_patience_15_2024-04-07_07:18:09.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-06_17:43:13.log
4,32,32,5,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,False,200,8,True,val_loss,min,25,0.6923076923076923,0.7916666666666666,0.7291666666666666,0.7428571428571429,0.7435897435897435,0.6923076923076923,0.6989010989010989,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_4_classes_adam_0_005__epochs_200__batch_size_8__early_stopping_monitor_val_loss_mode_min_patience_15_2024-04-05_21:12:51.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-05_08:29:48.log
4,32,32,40,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,False,200,256,True,val_loss,min,30,0.6923076923076923,0.75,0.6875,0.6916666666666667,0.7692307692307693,0.6923076923076923,0.6974358974358974,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_4_classes_adam_0_005__epochs_200__batch_size_256__early_stopping_monitor_val_loss_mode_min_patience_15_2024-04-07_07:21:12.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-06_17:43:13.log
4,64,64,20,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,True,200,256,True,val_loss,min,25,0.6923076923076923,0.7499999999999999,0.75,0.6583333333333332,0.846153846153846,0.6923076923076923,0.6948717948717948,/home/peter/dp/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_4_classes_adam_0_005__epochs_200__batch_size_256__early_stopping_monitor_val_loss_mode_min_patience_15_2024-04-15_18:03:43.keras,/home/peter/dp/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-15_17:59:59.log
4,64,64,20,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,False,200,128,False,val_loss,min,5,0.6923076923076923,0.8125,0.6875,0.6874999999999999,0.8076923076923077,0.6923076923076923,0.6923076923076923,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_4_classes_adam_0_005__epochs_200__batch_size_128_2024-04-03_19:49:06.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-03_19:49:06.log
4,32,32,40,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,True,200,32,False,val_loss,min,5,0.6923076923076923,0.7291666666666666,0.7291666666666666,0.6970238095238095,0.7564102564102563,0.6923076923076923,0.6908424908424908,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_4_classes_adam_0_005__epochs_200__batch_size_32_2024-04-07_07:21:59.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-06_17:43:13.log
4,64,64,20,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,False,200,32,False,val_loss,min,5,0.6923076923076923,0.6916666666666667,0.6875,0.6696428571428571,0.7282051282051282,0.6923076923076923,0.6895604395604396,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_4_classes_adam_0_005__epochs_200__batch_size_32_2024-04-09_07:39:26.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-09_05:59:38.log
4,32,32,40,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,False,200,256,False,val_loss,min,5,0.6923076923076923,0.7916666666666666,0.75,0.7,0.8333333333333333,0.6923076923076923,0.6871794871794872,/Human_Activity_Video_Recognition/data/output/models/DVORAK_CUSTOM/human_activity_recognition_model_4_classes_adam_0_005__epochs_200__batch_size_256_2024-04-07_07:19:34.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-06_17:43:13.log
