number_of_classes,image_height,image_width,sequence_length,random_state,model_type,output_layer_activation_function,loss_function,adam_optimizer_learning_rate,training_shuffle,max_training_epochs,batch_size,early_stopping,early_stopping_monitor,early_stopping_mode,early_stopping_patience,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,model_output_path,architecture_and_evaluation_output_path
20,64,64,20,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,False,200,128,False,val_loss,min,5,0.7741347905282332,0.764166222222227,0.7763123050449942,0.766357080033325,0.7674067672348434,0.7741347905282332,0.7671555573162658,/Human_Activity_Video_Recognition/data/output/models/UCF50/human_activity_recognition_model_20_classes_adam_0_005__epochs_200__batch_size_128_2024-04-03_19:50:17.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-03_19:50:17.log
20,64,64,20,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,True,200,128,False,val_loss,min,5,0.7595628415300546,0.7583966551687171,0.7550217798821229,0.7506536716893382,0.7622550459213826,0.7595628415300546,0.7547532461079977,/Human_Activity_Video_Recognition/data/output/models/UCF50/human_activity_recognition_model_20_classes_adam_0_005__epochs_200__batch_size_128_2024-04-02_18:42:29.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-02_18:42:29.log
20,64,64,20,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,True,200,128,True,val_loss,min,30,0.697632058287796,0.7029480815089826,0.6981883122509754,0.6966682184589222,0.7092400029610293,0.697632058287796,0.6996109214419062,/Human_Activity_Video_Recognition/data/output/models/UCF50/human_activity_recognition_model_20_classes_adam_0_005__epochs_200__batch_size_128__early_stopping_monitor_val_loss_mode_min_patience_30_2024-04-03_19:06:39.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-03_19:06:39.log
20,64,64,20,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,True,200,128,True,val_loss,min,20,0.6994535519125683,0.7236532843802093,0.7064432157873723,0.6978475328648243,0.7265903649778913,0.6994535519125683,0.6963827027659354,/Human_Activity_Video_Recognition/data/output/models/UCF50/human_activity_recognition_model_20_classes_adam_0_005__epochs_200__batch_size_128__early_stopping_monitor_val_loss_mode_min_patience_20_2024-04-02_20:08:27.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-02_20:08:27.log
20,64,64,20,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,True,200,128,True,val_loss,min,15,0.6794171220400729,0.699795343310386,0.6703459758724999,0.6739547562485358,0.6999319156755778,0.6794171220400729,0.6798354515289037,/Human_Activity_Video_Recognition/data/output/models/UCF50/human_activity_recognition_model_20_classes_adam_0_005__epochs_200__batch_size_128__early_stopping_monitor_val_loss_mode_min_patience_15_2024-04-02_19:59:09.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-02_19:59:09.log
20,64,64,20,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,True,200,128,True,val_loss,min,5,0.6775956284153005,0.6794320746000512,0.6799186411876569,0.669406673781134,0.6813224130143007,0.6775956284153005,0.6689532712087852,/Human_Activity_Video_Recognition/data/output/models/UCF50/human_activity_recognition_model_20_classes_adam_0_005__epochs_200__batch_size_128__early_stopping_monitor_val_loss_mode_min_patience_5_2024-04-02_19:32:46.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-02_19:32:46.log
20,64,64,20,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,True,200,128,True,val_loss,min,25,0.6648451730418944,0.6610809280585148,0.663137652236757,0.6519271669372821,0.6689609118105461,0.6648451730418944,0.6571420776824346,/Human_Activity_Video_Recognition/data/output/models/UCF50/human_activity_recognition_model_20_classes_adam_0_005__epochs_200__batch_size_128__early_stopping_monitor_val_loss_mode_min_patience_25_2024-04-03_18:54:05.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-03_18:54:05.log
20,64,64,20,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,False,200,128,True,val_loss,min,15,0.6502732240437158,0.6450989754911749,0.6505893686032397,0.6380275806918972,0.654078598023293,0.6502732240437158,0.6427650651653897,/Human_Activity_Video_Recognition/data/output/models/UCF50/human_activity_recognition_model_20_classes_adam_0_005__epochs_200__batch_size_128__early_stopping_monitor_val_loss_mode_min_patience_15_2024-04-04_06:59:53.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-04_06:59:53.log
20,64,64,20,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,True,200,128,True,val_loss,min,10,0.6338797814207651,0.6764344081680996,0.6381883230404534,0.6287266393198765,0.6843839747645198,0.6338797814207651,0.6320347111034937,/Human_Activity_Video_Recognition/data/output/models/UCF50/human_activity_recognition_model_20_classes_adam_0_005__epochs_200__batch_size_128__early_stopping_monitor_val_loss_mode_min_patience_10_2024-04-02_19:40:24.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-02_19:40:24.log
20,64,64,20,42,HARM - ConvLSTM,softmax,categorical_crossentropy,0.005,True,200,128,True,val_loss,min,35,0.639344262295082,0.6346993580771071,0.6339384568482994,0.6241198689569041,0.6352299781023852,0.639344262295082,0.627076576790582,/Human_Activity_Video_Recognition/data/output/models/UCF50/human_activity_recognition_model_20_classes_adam_0_005__epochs_200__batch_size_128__early_stopping_monitor_val_loss_mode_min_patience_35_2024-04-03_19:33:48.keras,/Human_Activity_Video_Recognition/data/output/logs/model_evaluation/evaluation_log_2024-04-03_19:33:48.log
