                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3627,                  2.747,                 1.2955,                 0.3232,                0.78894,                0.44718,                0.28695,                 1.2098,                 2.0965,                 1.1636,             0.00040972,             0.00040972,             0.00040972
                      2,                 1.2981,                 1.9296,                 1.2968,                0.38943,                0.68245,                0.54286,                0.37529,                 1.0457,                 1.7012,                 1.0484,             0.00081821,             0.00081821,             0.00081821
                      3,                 1.2844,                 1.7117,                 1.2882,                0.65134,                0.65071,                 0.6846,                0.45171,                 1.1043,                 1.6579,                 1.1082,              0.0012184,              0.0012184,              0.0012184
                      4,                 1.2304,                 1.5512,                 1.2505,                0.70313,                 0.6521,                 0.7496,                0.52343,                 1.1106,                 1.4196,                 1.1725,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.2277,                 1.4809,                  1.257,                0.59644,                0.73935,                0.79998,                0.51911,                 1.1345,                 1.4281,                 1.2372,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.2566,                 1.4192,                 1.2822,                0.83215,                0.76816,                0.83211,                0.58552,                 1.0406,                 1.2285,                 1.1903,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.2017,                  1.321,                 1.2351,                0.72097,                0.90232,                 0.9116,                0.64683,                 1.0572,                 1.1581,                 1.1755,              0.0011757,              0.0011757,              0.0011757
                      8,                  1.204,                 1.2948,                 1.2557,                0.62272,                0.78572,                0.77933,                0.54959,                 1.0673,                 1.3874,                 1.2054,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.1617,                 1.2368,                 1.2176,                0.88246,                 0.7975,                0.91969,                0.67276,                0.97019,                   1.01,                  1.144,               0.001151,               0.001151,               0.001151
                     10,                  1.163,                  1.211,                 1.2385,                0.89673,                0.84776,                0.93007,                0.68641,                 1.0391,                0.86107,                 1.2144,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.1742,                 1.1496,                 1.2364,                0.80872,                0.87517,                0.88771,                 0.6249,                 1.1067,                0.91022,                 1.2409,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.1283,                 1.0975,                 1.2086,                0.91795,                0.86959,                  0.926,                  0.676,                 1.0316,                0.89919,                 1.2088,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.1235,                 1.0605,                 1.2063,                0.91361,                0.86331,                0.93025,                0.68503,                0.98594,                0.81204,                 1.1501,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.1126,                 1.0378,                 1.2132,                0.92825,                0.89845,                0.94429,                0.69632,                 0.9746,                0.72426,                 1.1484,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1027,                 1.0088,                 1.1988,                0.83287,                0.90379,                0.92021,                0.65126,                 1.0547,                0.80754,                 1.2006,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.0896,                 1.0333,                 1.1933,                0.86601,                0.89862,                0.92211,                0.68446,                 1.0024,                0.78493,                 1.1768,              0.0010644,              0.0010644,              0.0010644
